id,assumption,why,evidence,effect_if_wrong,status,logged
A01,"The 2019 NPE -> 2021 LGE relationship between national and local voting carries over to 2024 NPE -> 2026 LGE","Only one observed national-to-local pair on comparable geography","None yet beyond the fit itself; the Johannesburg model notes one of its two transitions was Covid-affected","Systematic bias for parties whose national and local appeal diverge (local civics, MK)",open,2026-09-24
A02,"Province and council shock sizes: 0.35 and 0.15 on the log-share scale","Chosen by the pre-registered 2021 backtest on the corrected, common-case metric (L037-L038)","Lowest seat CRPS of 24 settings; established-party coverage 85.6% at 90%, 50.3% at 50%. Neighbouring settings are close. One election only","Intervals too wide or too narrow in 2026 if its political weather differs from 2021's",tested,2026-09-25
A03,"Excessive-seat rule applies only when a party's ward wins strictly exceed its entitlement","Originally an assumption about zero-ward parties under an equal-or-greater reading","IEC 2021 calculations for all 25 Western Cape councils reproduced exactly with the strict trigger; the equal-or-greater reading failed 6 (L019)","n/a: resolved by evidence",closed,2026-09-24
A04,"OTHER is split into real parties with fixed weights from recent elections","OTHER is not a party and must not win seats as a bloc","None","Seat counts for very small parties are rough",open,2026-09-24
A05,"Local-only parties keep their 2021 LGE share, before shocks","They are not on national ballots, so 2024 carries no signal for them","None","New or collapsed civic movements are missed entirely",open,2026-09-24
A06,"Registered voters per 2026 VD = MDB REGPOP, which is a 2024 snapshot","2026 VD-level registration is not published","Johannesburg model SOURCES.md","Differential registration growth since 2024 is ignored",open,2026-09-24
A07,"Until candidate lists are parsed, every modelled party contests every ward","Contestation data not yet ingested","None","Overstates ward vote for parties with thin ward coverage (cf. PA 52/135 JHB wards in 2021)",closed for WC when candidate lists parse (L018),2026-09-24
A08,"Both ballots share one turnout per VD; spoilt ballots ignored in seat maths","Simplicity","Seat maths uses valid votes only, so spoilt ballots do not matter there",Negligible for seats,open,2026-09-24
A09,"Independent ward candidates are not modelled separately","Few independents won Western Cape wards in 2021 (to be verified)","None yet","A strong local independent would be missed",open,2026-09-24
A10,"District councils (40% PR ballot) are not forecast","Scope for v0.1","n/a","Site covers local and metro councils only",open,2026-09-24
A11,"Where local knowledge and the IEC certified candidate list disagree about whether a party is standing, the model follows the certified list until the dispute is settled","The certified list is what appears on the ballot paper; an unverified claim should not silently change a forecast","Disputes are recorded with both sources in party_status_2026.csv; the first two (L020) were resolved in favour of the list (L021)","A party wrongly excluded or included changes that council's forecast",open,2026-09-24
